original,second_part,noun_forms,lemma,genus,compound_forms,related_words,hypernyms,definition,roots,en_hypernyms,concept,path,wup,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,dist_stemmer,similar_words
klimaschwindler,schwindler,"['schwindler', 'schwindlern', 'schwindlers']",schwindler,m,"['klimaschwindler', 'klimaschwindlern', 'klimaschwindlers']","['Flunkerer', 'Lügner', 'Scharlatan', 'Rosstäuscher', 'Abzocker', 'Schwindler', 'Windei', 'Hochstapler', 'Falschspieler', 'schwarzes Schaf', 'Lügenmaul', 'Lügenbold', 'Bauernfänger', 'Nepper', 'Betrüger']","['Schnute', 'Gosche', 'Gusche', 'Fresse', 'Klappe', 'Pappen', 'Schnauze', 'Mund', 'Gosch', 'Maul', 'Omme']","['ein Schwindler, der das Vertrauen seines Opfers ausnutzt', 'jemand, der dir etwas vorgaukelt, was nicht wahr ist', 'eine Person, die Sie durch Täuschung oder Betrug betrügt', 'jemand, der Lügen erzählt']","['Fresse', 'Omme', 'Schnute', 'Mund', 'Gosch', 'Maul', 'Schnauze', 'Klappe', 'Pappen', 'Gosche', 'Gusche']","['chiseler', 'gouger', 'defrauder', 'chiseller', 'grifter', 'swindler', 'scammer', 'slicker', 'cheat', 'trickster', 'deceiver', 'cheater', 'beguiler', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'chiseler', 'gouger', 'defrauder', 'chiseller', 'grifter', 'swindler', 'scammer', 'slicker', 'cheat', 'trickster', 'deceiver', 'cheater', 'beguiler', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['betrüger'],['betrüger'],schwindl,schwindler,schwindler,schwindl,,,,,"['schwindler', 'schwindel']","['betrüger', 'schwindler', 'schwindel']"
klimaschänder,schänder,"['schändern', 'schänders', 'schänder']",schänder,m,"['klimaschändern', 'klimaschänders', 'klimaschänder']",[],[],[],[],,,[],[],schand,schänder,schänder,schand,,,,,"['schänder', 'schändung']","['schänder', 'schändung']"
klimaschändung,schändung,"['schändung', 'schändungen']",schändung,f,"['klimaschändung', 'klimaschändungen']","['Entehrung', 'Schmähung', 'Rufschädigung', 'Schändung', 'Verunehrung']",[],"['beleidigende oder giftige Sprache, die verwendet wird, um Vorwürfe oder Tadel oder bitteren, tief sitzenden Groll auszudrücken']",[],"['abuse', 'insult', 'vilification', 'revilement', 'contumely', 'discourtesy', 'disrespect', 'content', 'substance', 'subject matter', 'message', 'communication', 'abstraction', 'abstract entity', 'entity']",action,[],[],schandung,schändung,schändung,schandung,,,,,"['schändung', 'schänder']","['schändung', 'schänder']"
klimasekte,sekte,"['sekte', 'sekten']",sekte,f,"['klimasekte', 'klimasekten']","['Ketzertum', 'Häresie', 'Irrlehre', 'Sekte', 'Irrglaube', 'Ketzerei', 'Heterodoxie']",[],"['ein Glaube, der die orthodoxen Lehren einer Religion ablehnt']",[],"['content', 'mental object', 'cognitive content', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,[],[],sek,sekt,sekt,sekt,,,,,"['sekte', 'sektierer']","['sekte', 'sektierer']"
klimasektierer,sektierer,"['sektierers', 'sektierern', 'sektierer']",sektierer,m,"['klimasektierers', 'klimasektierern', 'klimasektierer']","['Sektierer', 'Dissident', 'Irrgläubiger', 'Deviationist', 'Häretiker', 'Ketzer', 'Separatist', 'Abtrünniger', 'Abweichler', 'Andersdenkender', 'Renegat', 'Abgefallener', 'anders Denkender', 'Apostat', 'Sonderbündler']","['Diplomat', 'irgendjemand', 'diplomatischer Vertreter', 'Repräsentant', 'Konsul', 'jeder beliebige', 'Botschafter', 'Missionschef', 'jemand', 'Auslandsvertreter', 'Geschäftsträger']","['ein Mitglied einer Sekte', 'eine Person, die religiöse Überzeugungen vertritt, die dem Dogma der römisch-katholischen Kirche widersprechen']","['jemand', 'irgendjemand', 'jeder beliebige', 'jemand', 'irgendjemand', 'jeder beliebige']","['bigot', 'partisan', 'zealot', 'drumbeater', 'advocate', 'advocator', 'proponent', 'exponent', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'bigot', 'partisan', 'zealot', 'drumbeater', 'advocate', 'advocator', 'proponent', 'exponent', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,[],['anbeter'],sektier,sektier,sekty,sekti,,,,,"['sektierer', 'sekte']","['anbeter', 'sektierer', 'sekte']"
klimashow,show,"['show', 'shows']",show,f,"['klimashow', 'klimashows']","['Live-Gig', 'Gig', 'Auftritt', 'Live Event', 'Live-Veranstaltung', 'Liveact', 'Show', 'Live-Entertainment', 'Angeberei', 'Theater', 'Verstellung', 'Schauspielerei', 'Live-Auftritt', 'Live-Act']","['Fest', 'Vergnügung', 'Veranstaltung', 'Ergötzlichkeit', 'Kurzweil', 'Darbietung', 'Unterhaltung', 'Vorstellung', 'Entertainment', 'Amüsement', 'Event', 'Lustbarkeit', '(künstlerische) Darbietung', 'Vergnügen', 'Belustigung', 'Erheiterung']","['eine Buchung für Musiker', 'eine gesellschaftliche Veranstaltung mit einer öffentlichen Aufführung oder Unterhaltung']","['Versuch', 'Vorsatz', 'Unternehmung', 'Rastlosigkeit', 'Beweglichkeit', 'Regsamkeit', 'Betriebsamkeit', 'Unternehmungsgeist', 'Umtrieb', 'Rührigkeit', 'Geschäftigkeit', 'Aktivität', 'Spektakel', 'Event', 'Hypeevent', 'Großereignis', 'Spektakulum', 'Hype-Event', 'besonderes Ereignis']","['booking', 'engagement', 'work', 'employment', 'line', 'job', 'occupation', 'business', 'line of work', 'activity', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,[],"['kabarett', 'kontroverse', 'krieg', 'zirkus']",show,show,show,show,,,,,,"['kabarett', 'kontroverse', 'krieg', 'zirkus']"
klimaskepsis,skepsis,['skepsis'],skepsis,f,['klimaskepsis'],"['Ungläubigkeit', 'Skepsis', 'Argwohn', 'Unglaube', 'Misstrauen', 'Unglauben', 'Zweifel']","['Geisteszustand', 'Geistesverfassung']",['Zweifel an der Wahrheit von etwas'],"['Geistesverfassung', 'Geisteszustand']","['doubtfulness', 'uncertainty', 'doubt', 'dubiousness', 'dubiety', 'incertitude', 'cognitive state', 'state of mind', 'psychological condition', 'psychological state', 'mental state', 'mental condition', 'condition', 'status', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,[],[],skepsi,skepsi,skeps,skepsis,,,,,,[]
klimaskeptiker,skeptiker,"['skeptiker', 'skeptikern', 'skeptikers']",skeptiker,m,"['klimaskeptiker', 'klimaskeptikern', 'klimaskeptikers']","['Spielverderber', 'Pessimist', 'Defätist', 'Defaitist', 'Bremser', 'Skeptiker', 'Schwarzmaler', 'Bedenkenträger', 'Unheilsprophet', 'Schwarzseher', 'Unkenrufer', 'Zweifler']",[],"['jemand, der gewohnheitsmäßig an akzeptierten Überzeugungen zweifelt']",[],"['intellect', 'intellectual', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'intellect', 'intellectual', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['bremser'],['bremser'],skeptik,skeptik,skeptik,skeptik,,,,,"['skeptiker', 'skeptikerin']","['bremser', 'skeptiker', 'skeptikerin']"
klimaskeptikerin,skeptikerin,"['skeptikerin', 'skeptikerinnen']",skeptikerin,f,"['klimaskeptikerin', 'klimaskeptikerinnen']",[],[],[],[],,,[],[],skeptikeri,skeptikerin,skeptikerin,skeptikerin,,,,,"['skeptikerin', 'skeptiker']","['skeptikerin', 'skeptiker']"
klimaskeptizismus,skeptizismus,['skeptizismus'],skeptizismus,m,['klimaskeptizismus'],[],[],[],[],,,[],[],skeptizismu,skeptizismu,skeptizism,skeptizismus,,,,,,[]
klimasozialismus,sozialismus,"['sozialismen', 'sozialismus']",sozialismus,m,"['klimasozialismen', 'klimasozialismus']","['Stalinismus', 'Bolschewismus', 'Marxismus-Leninismus', 'Maoismus', 'Sozialismus', 'Kommunismus']","['Ideenlehre', 'Ideologie']","['eine politische Theorie, die den Kollektivismus in einer klassenlosen Gesellschaft befürwortet']","['Ideologie', 'Ideenlehre']","['political orientation', 'political theory', 'ideology', 'orientation', 'attitude', 'mental attitude', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,[],[],sozialismu,sozialismu,sozialism,sozialismus,,,,,,[]
klimaspinner,spinner,"['spinners', 'spinnern', 'spinner']",spinner,m,"['klimaspinners', 'klimaspinnern', 'klimaspinner']","['Spinner', 'seltsamer Heiliger', 'Sonderling', 'wunderlicher Kauz', 'Wahnsinnsknabe', 'Verrückter']",[],"['jemand, der geistesgestört und möglicherweise gefährlich ist', 'jemand, der unangenehm seltsam oder exzentrisch ist']",[],"['lunatic', 'maniac', 'madman', 'diseased person', 'sick person', 'sufferer', 'unfortunate person', 'unfortunate', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'lunatic', 'maniac', 'madman', 'diseased person', 'sick person', 'sufferer', 'unfortunate person', 'unfortunate', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,[],[],spinn,spinner,spin,spinn,,,,,,[]
klimastaat,staat,"['staates', 'stäten', 'stäte', 'staat', 'staate', 'staaten', 'staats']",staat,m,"['klimastaates', 'klimastäten', 'klimastäte', 'klimastaat', 'klimastaate', 'klimastaaten', 'klimastaats']","['Nationalstaat', 'Staat', 'Nation', 'Land']","['Herrschaften', 'liebe Leute', 'Leute', 'Freunde']","['die Menschen, die in einer Nation oder einem Land leben']","['Gruppierung', 'Clusterung', 'Bündelung']","['people', 'grouping', 'group', 'abstraction', 'abstract entity', 'entity']",action,[],['vatikan'],staa,staat,sta,staat,,,,,,['vatikan']
klimastopp,stopp,"['stopp', 'stopps']",stopp,m,"['klimastopp', 'klimastopps']","['Karenz', 'Unterbruch', 'Tätigkeitsunterbrechung', 'Stopp', 'Pause', 'Auszeit', 'Unterbrechung', 'Time-out', 'Unterlass']",[],"['die Eigenschaft, unterbrochen zu sein; einer Unterbrechung oder periodischen Unterbrechung zu unterliegen']",[],"['unregularity', 'irregularity', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,[],[],stopp,stopp,stop,stopp,,,,,,[]
klimastreit,streit,"['streites', 'streit', 'streits', 'streiten', 'streite']",streit,m,"['klimastreites', 'klimastreit', 'klimastreits', 'klimastreiten', 'klimastreite']","['Zankerei', 'Ärger', 'Streiterei', 'Kacke ist am dampfen', 'Hickhack', 'Stress', 'Konflikt', 'Krach', 'Zank', 'Differenzen', 'Querelen', 'Hakelei', 'Rangelei', 'Unmut', 'Zoff', 'Konflikte', 'Streit', 'Misshelligkeiten', 'Klinsch', 'Ärgerlichkeiten', 'Verdrießlichkeiten', 'Theater', 'Auseinandersetzung', 'Wickel', 'Zerwürfnis', 'Hader', 'Geplänkel', 'Schererei', 'Zwist', 'Gerangel', 'Stunk', 'Knatsch', 'Clinch', 'Scharmützel', 'Fehde', 'Huddel', 'Trouble', 'Kontroverse', 'Streitigkeit', 'Probleme', 'Zwistigkeit']","['Diskussion', 'Gespräch', 'Unterredung', 'Wortwechsel', 'Zwiesprache', 'Unterhaltung', 'Zwiegespräch', 'Gedankenaustausch', 'Austausch', 'Konversation', 'Aussprache', 'Dialog']","['Zustand der Opposition zwischen Personen, Ideen oder Interessen.', 'Ordnungswidriger Kampf', 'Dialog mit großer Nicht-Übereinstimmung.']","['Spektakel', 'Event', 'Hypeevent', 'Großereignis', 'Spektakulum', 'Hype-Event', 'besonderes Ereignis', 'Verständigung', 'Austausch', 'Kommunikation']","['tilt', 'contention', 'disceptation', 'argument', 'contestation', 'controversy', 'arguing', 'disputation', 'conflict', 'difference', 'dispute', 'difference of opinion', 'disagreement', 'speech act', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,[],[],strei,streit,streit,streit,"['streit', 'streiter']",,,"['streit', 'streiter']","['streit', 'streiter']","['streit', 'streiter', 'streit', 'streiter']"
klimastreiter,streiter,"['streiter', 'streiters', 'streitern']",streiter,m,"['klimastreiter', 'klimastreiters', 'klimastreitern']","['Kämpfer', 'Kämpe', 'Streiter', 'Soldat', 'Krieger']",[],"['ein Streitender, der sich streitet']",[],"['disputant', 'eristic', 'controversialist', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'disputant', 'eristic', 'controversialist', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['krieger'],['krieger'],strei,streiter,streiter,streit,"['streit', 'streiter']",,,"['streit', 'streiter']","['streiter', 'streit']","['krieger', 'streit', 'streiter', 'streiter', 'streit']"
klimataliban,taliban,"['talibans', 'taliban']",taliban,m,"['klimatalibans', 'klimataliban']",[],[],[],[],,,[],[],taliba,taliban,talib,taliban,,,,,,[]
klimateppich,teppich,"['teppichs', 'teppiche', 'teppich', 'teppichen']",teppich,m,"['klimateppichs', 'klimateppiche', 'klimateppich', 'klimateppichen']","['Auslegeware', 'Knüpfwerk', 'Teppich']",[],"['ein natürlicher Gegenstand, der einem Teppich ähnelt oder diesen suggeriert']",[],"['natural object', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity']",person,[],[],teppich,teppich,teppich,teppich,,,,,,[]
klimateufel,teufel,"['teufeln', 'teufels', 'teufel']",teufel,m,"['klimateufeln', 'klimateufels', 'klimateufel']","['Satan', 'Teufel', 'Unmensch', 'Luzifer', 'Scheusal', 'Fürst der Finsternis', 'Bestie', 'Leibhaftige', 'Bestie in Menschengestalt', '666', 'Mephistopheles', 'Gottseibeiuns', 'Monster', 'Antichrist', 'Ungeheuer', 'Beelzebub', 'Düvel', 'Dämon', 'Mephisto', 'große Tier', 'Deibel', 'Bluthund', 'Diabolo']",[],"['eine grausam raubgierige Person', 'Feuerzeug, bestehend aus einem dünnen Stück Holz oder Pappe, das mit einer brennbaren Chemikalie bestückt ist; entzündet sich durch Reibung']",[],"['assailant', 'attacker', 'aggressor', 'assaulter', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'assailant', 'attacker', 'aggressor', 'assaulter', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['monster'],['monster'],teufel,teufel,teufel,teufel,,,,,,['monster']
klimatheater,theater,"['theatern', 'theaters', 'theater']",theater,n,"['klimatheatern', 'klimatheaters', 'klimatheater']","['Aufriss', 'Ärger', 'Haupt- und Staatsaktion', 'Show', 'Kacke ist am dampfen', 'Gemach', 'Tumult', 'Furore', 'Stress', 'Gesums', 'Schauspielhaus', 'Affentheater', 'Wirbel', 'Krach', 'Schauspiel', 'Aufstand', 'Fisimatenten', 'Schauspielerei', 'Aufsehen', 'Getrommel', 'Sperenzchen', 'Rabatz', 'Theaterdonner', 'Unmut', 'Federlesen', 'Aufhebens', 'Schmierentheater', 'Hype', 'Terz', 'Misshelligkeiten', 'Konflikte', 'Streit', 'Ärgerlichkeiten', 'Krawall', 'Welle', 'Verdrießlichkeiten', 'Possenspiel', 'Sturm im Wasserglas', 'Theater', 'Verstellung', 'Hysterie', 'Geschiss', 'Gehabe', 'Schmierenkomödie', 'Unruhe', 'Trara', 'Spektakel', 'Buhei', 'Getöse', 'Geschichten', 'Schererei', 'Bohei', 'Zicken', 'Angeberei', 'Musentempel', 'Rummel', 'Aufregung', 'Aufruhr', 'Tamtam', 'Lärm', 'Aufgeregtheit', 'Huddel', 'Trouble', 'Kasperletheater', 'Affenkomödie', 'Randale', 'Schaumschlägerei', 'Probleme', 'Getue']","['Komödie', 'Rezeption', 'Lesen', 'Lustspiel', 'Durcharbeiten', 'Schlagzeug', 'Dröhnen', 'Agitation', 'Drumset', 'Lektüre', 'Brausen', 'Perkussion', 'Donner', 'Hetze']","['Ordnungswidriger Kampf', 'ein verwirrtes oder nervöses und aufgeregtes Gemüt', 'gekennzeichnet durch Nervosität und schnelles Erschrecken', 'schelmisches oder hinterlistiges Verhalten', None, 'etwas oder jemand, der Angst verursacht; eine Quelle des Unglücklichseins', 'eine gesellschaftliche Veranstaltung mit einer öffentlichen Aufführung oder Unterhaltung', 'ein Gebäude, in dem Theatervorstellungen oder Filmvorführungen stattfinden können']","['Dröhnen', 'Brausen', 'Donner', 'Rezeption', 'Lektüre', 'Durcharbeiten', 'Lesen', 'Drumset', 'Schlagzeug', 'Perkussion', 'Lustspiel', 'Komödie', 'Hetze', 'Agitation']","['scrap', 'fight', 'combat', 'fighting', 'conflict', 'struggle', 'battle', 'group action', 'action', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,[],[],thea,theater,the,theat,,,,,,[]
klimatheologie,theologie,"['theologie', 'theologien']",theologie,f,"['klimatheologie', 'klimatheologien']","['Theologie', 'Religionswissenschaft', 'Gottesgelehrtheit']","['Haltung', 'Zucht', 'Aufzucht']",['das rationale und systematische Studium der Religion und ihrer Einflüsse sowie des Wesens der religiösen Wahrheit'],"['Zucht', 'Haltung', 'Aufzucht']","['subject', 'field', 'study', 'discipline', 'bailiwick', 'subject area', 'field of study', 'subject field', 'domain', 'knowledge base', 'knowledge domain', 'content', 'mental object', 'cognitive content', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,[],[],theologie,theologi,theolog,theologi,,,,,,[]
klimatod,tod,"['toden', 'todes', 'tods', 'tode', 'tod']",tod,m,"['klimatoden', 'klimatodes', 'klimatods', 'klimatode', 'klimatod']","['Freund Hein', 'Abschied', 'Exitus', 'Ableben', 'Todbringer', 'Terminalphase', 'Knochenmann', 'Lebensende', 'Abberufung', 'Tod', 'Hein', 'Gevatter Tod', 'Sterben', 'Gevatter', 'Versterben', 'Hinschied', 'Thanatos', 'Boandlkramer', 'Boandl', 'Sensenmann', 'Schnitter', 'Boanlkramer', 'Boanl']","['Rückgeld', 'Kleingeld', 'Wechselgeld']","['Entlassung aus dem Amt', 'das Ereignis des Sterbens oder des Ausscheidens aus dem Leben']","['Spektakel', 'Event', 'Hypeevent', 'Großereignis', 'Spektakulum', 'Hype-Event', 'besonderes Ereignis']","['sack', 'release', 'sacking', 'liberation', 'discharge', 'firing', 'dismission', 'dismissal', 'conclusion', 'ending', 'termination', 'change of state', 'change', 'action', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,[],[],tod,tod,tod,tod,,,,,,[]
klimatrash,trash,"['trash', 'trashs']",trash,m,"['klimatrash', 'klimatrashs']","['Kitsch', 'Ramsch', 'Schund', 'geschmackloser Gegenstand', 'Trash']",[],['wertlose Menschen'],[],"['ragtag and bobtail', 'rabble', 'riffraff', 'ragtag', 'folk', 'folks', 'common people', 'people', 'grouping', 'group', 'abstraction', 'abstract entity', 'entity']",action,[],[],trash,trash,trash,trash,,,,,,[]
klimatraumatisierung,traumatisierung,"['traumatisierung', 'traumatisierungen']",traumatisierung,f,"['klimatraumatisierung', 'klimatraumatisierungen']",[],[],[],[],,,[],[],traumatisierung,traumatisierung,traumatisierung,traumatisier,,,,,,[]
klimatrip,trip,"['trip', 'trips']",trip,m,"['klimatrip', 'klimatrips']","['Tour', 'Spritzfahrt', 'Trip', 'kurze Reise', 'Ausflug', 'Spritztour']","['besteigen', 'rittlings sitzen', 'reiten']","['eine Fahrt in einem Auto, die nur zum Vergnügen unternommen wird']","['Anfahrt', 'Anfahrtsweg']","['drive', 'ride', 'journey', 'journeying', 'travel', 'traveling', 'travelling', 'movement', 'move', 'motion', 'change', 'action', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,[],[],trip,trip,trip,trip,,,,,,[]
klimatyrannei,tyrannei,"['tyranneien', 'tyrannei']",tyrannei,f,"['klimatyranneien', 'klimatyrannei']","['Tyrannei', 'Diktatur', 'Schreckensherrschaft', 'Tyrannis', 'Terror', 'Zwangsherrschaft', 'Willkürherrschaft', 'Absolutismus', 'Despotie', 'Gewaltherrschaft', 'Despotismus']","['Alleinherrschaft', 'Autokratie']",['Herrschaft durch Androhung von Strafe und Gewalt'],"['Autokratie', 'Alleinherrschaft']","['control', 'dominance', 'ascendence', 'ascendency', 'ascendance', 'ascendancy', 'condition', 'status', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,['diktatur'],['diktatur'],tyrannei,tyrannei,tyranne,tyrannei,,,,,,['diktatur']
klimaunfug,unfug,"['unfug', 'unfugs']",unfug,m,"['klimaunfug', 'klimaunfugs']","['Bullshit', 'Heckmeck', 'Blödsinn', 'Schmarren', 'Gelaber', 'Kohl', 'Quark', 'Schmonzes', 'Käse', 'Krampf', 'Schmu', 'Quatsch mit Soße', 'Blech', 'Mumpitz', 'Sottise', 'Stuss', 'geistiger Dünnschiss', 'Scheiße', 'Unfug', 'Pipifax', 'Schmarrn', 'Gefasel', 'Kokolores', 'dümmliches Gerede', 'Nonsense', 'Kappes', 'geistiger Durchfall', 'Geschwafel', 'Schwachsinn', 'Schwachfug', 'gequirlte Scheiße', 'Kiki', 'Schmäh', 'Gewäsch', 'Driss', 'Firlefanz', 'Widersinn', 'Humbug', 'Tinnef', 'Bockmist', 'Fez', 'dummes Zeug', 'saudummes Zeug', 'Pillepalle', 'Mist', 'Scheiß', 'Papperlapapp', 'Unsinn', 'Nonsens', 'Quatsch']","['Gelaber', 'leere Worte', 'Geschwalle', 'Luftblasen', 'leeres Gerede', 'Geblubber', 'langweilige Rede', 'warme Worte', 'Geschwätz', 'hohle Phrasen', 'Gefasel', 'Schein-Tiefsinn', 'Geschwafel', 'Schmus', 'Sermon', 'Gewäsch', 'Geplänkel', 'dummes Zeug', 'Geseire', 'Blabla', 'Gerede', 'Geschwurbel', 'Gemunkel']",['unsinniges Gerede oder Schreiben'],"['Tiefe', 'Tiefsinn']","['garbage', 'drivel', 'content', 'substance', 'subject matter', 'message', 'communication', 'abstraction', 'abstract entity', 'entity']",action,"['blödsinn', 'käse', 'quatsch', 'unsinn']","['blödsinn', 'gefasel', 'käse', 'quatsch', 'unsinn']",unfug,unfug,unfug,unfug,,,,,,"['blödsinn', 'gefasel', 'käse', 'quatsch', 'unsinn']"
klimaunfähigkeit,unfähigkeit,"['unfähigkeit', 'unfähigkeiten']",unfähigkeit,f,"['klimaunfähigkeit', 'klimaunfähigkeiten']","['Untauglichkeit', 'Unfähigkeit', 'Ignoranz', 'Dilettantismus', 'Unvermögen', 'Dummheit', 'Trotteligkeit', 'Stümperhaftigkeit', 'Beknacktheit', 'Doofheit', 'Impotenz', 'Trottligkeit', 'Unwissenheit', 'Inkompetenz', 'Beklopptheit', 'Blödheit']","['Kenntnisstand', 'Wissensstand', 'Horizont', 'Wissen', 'Kenntnis', 'Kenne', 'Fähigkeit', 'Kompetenz', 'Rüstzeug', 'Know-how', 'Techne', 'Sachverstand', 'Sachkenntnis', 'Können', 'Ahnung', 'Sachkunde', 'Expertise']","['Mangel an Entwicklungsmöglichkeiten', 'das Fehlen der Fähigkeit zur Leistung', 'die Eigenschaft, nicht geeignet zu sein']","['Fähigkeit', 'Rüstzeug', 'Kompetenz', 'Horizont', 'Ahnung', 'Wissen', 'Expertise', 'Sachkunde', 'Sachkenntnis', 'Know-how', 'Techne', 'Kenntnis', 'Können', 'Kenne', 'Kenntnisstand', 'Wissensstand', 'Sachverstand', 'Fähigkeit', 'Rüstzeug', 'Kompetenz', 'Horizont', 'Ahnung', 'Wissen', 'Expertise', 'Sachkunde', 'Sachkenntnis', 'Know-how', 'Techne', 'Kenntnis', 'Können', 'Kenne', 'Kenntnisstand', 'Wissensstand', 'Sachverstand']","['inaptitude', 'inability', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,[],[],unfahigkei,unfähigkeit,unfähigkeit,unfah,,,,,,[]
klimaungerechtigkeit,ungerechtigkeit,"['ungerechtigkeit', 'ungerechtigkeiten']",ungerechtigkeit,f,"['klimaungerechtigkeit', 'klimaungerechtigkeiten']","['Einseitigkeit', 'Gesetzwidrigkeit', 'Diskriminierung', 'Rechtswidrigkeit', 'Ungerechtigkeit', 'Tort', 'Unrecht']",[],"['eine ungerechte Handlung', 'unangemessenes Verhalten']",[],"['wrongdoing', 'misconduct', 'wrongful conduct', 'actus reus', 'activity', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,[],[],ungerechtigkei,ungerechtigkeit,ungerechtigkeit,ungerecht,,,,,"['ungerechtigkeit', 'gerechtigkeit']","['ungerechtigkeit', 'gerechtigkeit']"
klimaunsinn,unsinn,"['unsinnes', 'unsinn', 'unsinns', 'unsinne']",unsinn,m,"['klimaunsinnes', 'klimaunsinn', 'klimaunsinns', 'klimaunsinne']","['Bullshit', 'Heckmeck', 'Blödsinn', 'Schmarren', 'Gelaber', 'Kohl', 'Quark', 'Schmonzes', 'Käse', 'Krampf', 'Schmu', 'Quatsch mit Soße', 'Blech', 'Mumpitz', 'Sottise', 'Stuss', 'geistiger Dünnschiss', 'Scheiße', 'Unfug', 'Pipifax', 'Schmarrn', 'Gefasel', 'Kokolores', '(ach) Quatsch', 'dümmliches Gerede', '(ach) papperlapapp', 'Nonsense', 'Kappes', 'geistiger Durchfall', 'Geschwafel', 'Schwachsinn', 'Schwachfug', 'gequirlte Scheiße', 'Kiki', 'Schmäh', 'Gewäsch', 'Driss', 'Firlefanz', 'Widersinn', 'Humbug', 'Tinnef', 'Bockmist', 'Fez', 'dummes Zeug', 'saudummes Zeug', 'Pillepalle', 'Mist', 'Scheiß', 'Papperlapapp', 'Unsinn', 'Nonsens', 'Quatsch']","['Gelaber', 'leere Worte', 'Geschwalle', 'Luftblasen', 'leeres Gerede', 'Geblubber', 'langweilige Rede', 'warme Worte', 'Geschwätz', 'hohle Phrasen', 'Gefasel', 'Schein-Tiefsinn', 'Geschwafel', 'Schmus', 'Sermon', 'Gewäsch', 'Geplänkel', 'dummes Zeug', 'Geseire', 'Blabla', 'Gerede', 'Geschwurbel', 'Gemunkel']","['unsinniges Gerede oder Schreiben', 'eine Nachricht, die keinen Sinn zu ergeben scheint']","['Tiefe', 'Tiefsinn']","['garbage', 'drivel', 'content', 'substance', 'subject matter', 'message', 'communication', 'abstraction', 'abstract entity', 'entity']",action,"['blödsinn', 'käse', 'quatsch', 'unfug']","['blödsinn', 'gefasel', 'käse', 'quatsch', 'unfug']",unsinn,unsinn,unsin,unsinn,,,,,,"['blödsinn', 'gefasel', 'käse', 'quatsch', 'unfug']"
